,,MILK,,,,,EGGS,,,,,RED MEAT,,,,,POULTRY,,,,,STARCHY VEGETABLES,,,,,FISH & SEAFOOD,,,,,VEGETABLES,,,,,FRUIT,,,,,LEGUMES & PULSES,,,,,WHOLE GRAINS,,,,,NUTS,,,,,,
,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=278328832,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=1286927044,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=619456874,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=1250427895,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=651659921,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=504955516,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=305498588,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=254233001,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=705662649,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=1256257963,,,,,https://docs.google.com/spreadsheets/d/1fOAVtnC9Lamg3OwHV32IVsY-Ddum88g-3HALPe4BcHk/edit#gid=171821835,,,,,,
TOTAL,,kg/per person/year,% per person,total pop,,,,% per person,total pop,,,,% per person,total pop,,,,% per person,total pop,,,,% per person,total pop,,,2399.26,% per person,total pop,,,13703.7,% per person,total pop,,,11913.58,% per person,total pop,,,1268.85,% per person,total pop,,,kg/per person/year,% per person,total pop,,,,% per person,total pop,,,,population
,ALL FOODS,16764,100.00%,"493,283",100.00%,,1033.45,100.00%,"66,472",100.00%,,4105.21,100.00%,"186,964",100.00%,,2504.81,100.00%,"103,094",100.00%,,10362.06,100.00%,"380,712",100.00%,,2399.26,100.00%,"131,395",100.00%,,13703.7,100.00%,"939,693",100.00%,,11913.58,100.00%,"498,571",100.00%,,1268.85,100.00%,"67,654",100.00%,,21353.39,100.00%,"1,073,668",100.00%,,275.41,100.00%,"14,534",100.00%,,,
SUB SAHARAN AFRICA,17829,1550,9.25%,19132,3.88%,,61.53,5.95%,1080,1.62%,,442.12,10.77%,5353,2.86%,,303.03,12.10%,3303,3.20%,,4798.35,46.31%,91789,24.11%,,477.3,19.89%,5694,4.33%,,1642.9,11.99%,28930,3.08%,,2628.14,22.06%,35977,7.22%,,558.59,44.02%,9499,14.04%,,5340.06,25.01%,80126,7.46%,,27.04,9.82%,447,3.07%,,,"643,782,928"
average kg / y for region,,38.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% breakdown,100.00%,8.70%,,,,,0.35%,,,,,2.48%,,,,,1.70%,,,,,26.91%,,,,,2.68%,,,,,9.21%,,,,,14.74%,,,,,3.13%,,,,,29.95%,,,,,0.15%,,,,,,
Angola,,12.3,,149,,,0.67,,8,,,11.93,,145,,,11.76,,143,,,248.22,,3010,,,20.22,,245,,,26.31,,319,,,90.34,,1096,,,12.58,,153,,,95.72,,1161,,,0.08,,1,,,,"12,127,071"
Benin,,8.4,,66,,,1.02,,8,,,5.72,,45,,,9.95,,78,,,277.03,,2178,,,17.6,,138,,,60.21,,473,,,49.62,,390,,,19.42,,153,,,148.59,,1168,,,4.85,,38,,,,"7,862,944"
Botswana,,117.74,,193,,,1.5,,2,,,21.15,,35,,,3.93,,6,,,54.29,,89,,,3.8,,6,,,43.4,,71,,,66.11,,108,,,4.1,,7,,,120.6,,198,,,0.09,,0,,,,"1,639,833"
Burkina Faso,,29.79,,414,,,2.4,,33,,,10.81,,150,,,2.41,,34,,,5.2,,72,,,7.06,,98,,,15,,209,,,6.4,,89,,,33.03,,459,,,161.46,,2245,,,0.29,,4,,,,"13,902,972"
