Film,Year,Domestic gross ($m),Worldwide Gross ($m),Rotten Tomatoes  critics,Rotten Tomatoes Audience ,Budget ($m),budget recovered,times budget recovered,force label,critics vs audience divergence, Primary Genre,Genres,IMDB Rating,exclude label,RT vs IMDB disparity,,,,,,,,,,,,,,,,,,,,Distributor,ID
Avatar 2,2023,684.0,2320.0,76,92,250.0,928%,9.3,,16,,"Action, Adventure, Fantasy",7.6,,16,,,,,,,,,,,,,,,,,,,,20th Century Studios,6
Barbie,2023,634.6,1437.9,88,84,145.0,992%,9.9,,-4,,"Adventure, Comedy, Fantasy",7.4,,10,,,,,,,,,,,,,,,,,,,,Warner Bros.,2
Super Mario Bros,2023,574.0,1358.2,59,95,100.0,1358%,13.6,,36,,"Animation, Adventure, Comedy",7.1,,24,,,,,,,,,,,,,,,,,,,,Universal Pictures,1
Across the Spider-Verse,2023,381.2,686.9,95,94,100.0,687%,6.9,,-1,,"Animation, Action, Adventure",8.8,,6,,,,,,,,,,,,,,,,,,,,Columbia Pictures,3
Guardians of the Galaxy 3,2023,358.9,845.3,81,94,250.0,338%,3.4,,13,,"Action, Adventure, Comedy",8.0,,14,,,,,,,,,,,,,,,,,,,,Walt Disney Studios Motion Pictures,4
Oppenheimer,2023,323.9,938.4,93,91,100.0,938%,9.4,YES,-2,,"Biography, Drama, History",8.6,,5,,,,,,,,,,,,,,,,,,,,Universal Pictures,7
The Little Mermaid,2023,297.2,563.1,67,94,250.0,225%,2.3,,27,,"Adventure, Family, Fantasy",7.2,,22,,,,,,,,,,,,,,,,,,,,Walt Disney Studios Motion Pictures,5
Ant-Man: Quantumania,2023,214.5,463.6,45,82,200.0,232%,2.3,,37,,"Action, Adventure, Comedy",6.1,,21,,,,,,,,,,,,,,,,,,,,Walt Disney Studios Motion Pictures,8
John Wick 4,2023,187.1,432.2,94,93,100.0,432%,4.3,,-1,,"Action, Crime, Thriller",7.8,,15,,,,,,,,,,,,,,,,,,,,Lionsgate,9
Puss in Boots: The Last Wish,2023,186.0,485.5,95,94,130.0,373%,3.7,,-1,,"Animation, Adventure, Comedy",7.9,,15,,,,,,,,,,,,,,,,,,,,Universal Pictures,17
Sound of Freedom,2023,184.2,245.7,57,99,14.5,1694%,16.9,,42,,,7.7,,22,,,,,,,,,,,,,,,,,,,,,
Indiana Jones & the Dial of Destiny,2023,174.5,371.3,69,88,300.0,124%,1.2,,19,,"Action, Adventure",6.8,,20,,,,,,,,,,,,,,,,,,,,Walt Disney Studios Motion Pictures,10
MI: Dead Reckoning pt1,2023,172.1,560.3,96,94,300.0,187%,1.9,YES,-2,,"Action, Adventure, Thriller",8.0,,14,,,,,,,,,,,,,,,,,,,,Paramount Pictures,13
Ballad of Songbirds & Snakes,2023,159.7,317.8,64,89,100.0,318%,3.2,,25,,,6.9,,20,,,,,,,,,,,,,,,,,,,,,
Transformers: Rise of the Beasts,2023,157.0,428.0,52,91,200.0,214%,2.1,,39,,"Action, Adventure, Sci-fi",6.1,,30,,,,,,,,,,,,,,,,,,,,Paramount Pictures,12
Creed III,2023,156.2,274.5,88,96,75.0,366%,3.7,,8,,"Drama, Sport",6.8,,28,,,,,,,,,,,,,,,,,,,,United Artists Releasing,14
Elemental,2023,154.4,456.4,74,93,200.0,228%,2.3,,19,,"Animation, Adventure, Comedy",7.1,,22,,,,,,,,,,,,,,,,,,,,Walt Disney Studios Motion Pictures,15
Fast X,2023,146.1,719.1,56,84,340.0,212%,2.1,,28,,"Action, Adventure, Crime",5.8,,26,,,,,,,,,,,,,,,,,,,,Universal Pictures,16
Five Nights at Freddy's,2023,137.3,294.9,32,87,20.0,1475%,14.7,,55,,,5.5,,32,,,,,,,,,,,,,,,,,,,,,
Teenage Mutant Ninja Turtles,2023,118.6,180.5,96,91,70.0,258%,2.6,,-5,,"Animation, Action, Adventure",7.5,,16,,,,,,,,,,,,,,,,,,,,Paramount Pictures,25
Scream VI,2023,108.2,168.8,76,91,24.0,703%,7.0,,15,,"Horror, Mystery, Thriller",6.5,,26,,,,,,,,,,,,,,,,,,,,Paramount Pictures,18
