selected censored websites,banned search terms (wikipedia),banned search terms (conceptdoppler),sources
2008,as of 15/12/2008,as of 18/6/2008,
01net.com,democracy,Shanghai clique,
163.com ,human rights,Chinese Central Propaganda Department ,http://en.wikipedia.org/wiki/List_of_words_censored_by_search_engines_in_the_People%27s_Republic_of_China
2ch.net,dictatorship,Buddha stretches a thousand hands,http://www.conceptdoppler.org/
4chan.org,despotism,eighty-nine,http://www.greatfirewallofchina.org/
6park.com,anti-communist,Falungong,http://en.wikipedia.org/wiki/List_of_notable_websites_blocked_in_the_People%27s_Republic_of_China
addictinggames.com ,communist bandits,anti-society ,
aftonbladet.se,genocide,underground church ,"NOTE: only the Chinese terms are blocked, while the English terms are freely searchable (unless specified otherwise)."
amazon.com ,oppression,Tiananmen Incident,
amnesty.com,Blocking,Student Federation,
amnesty.org,Reeducation through labor,student movement,
amnestyinternational.org,Red Terror,Dissident ,
antro.cl,evil,Political dissident ,
aol.com,Sino-Russian border,Mein Kampf ,
apple.com,Tiananmen Square massacre,censorship jail ,
as.com,June 4th,News blackout ,
asahi.com/ ,Chinese democracy movement,"no-limit browser,",
barrapunto.com,Shanwei,democracy movement ,
bbc.co.uk,yilishen,brain wash ,
bbc.com,Xinjiang independence,Tibetan independence,
bbspot.com,Tibetan independence,Persecution,
bebo.com,exile,Brutal torture ,
bild.de,dalai,,
blogger.com ,Gedhun Choekyi Nyima,,
boingboing.net,Tibet Talk,,
bundesregierung.de,Tiananmen Mothers,,
bundestag.de ,falun,,
cbc.ca ,lun gong,,
china.ch ,hongzhi,,
china.cn,Democratic Progressive Party,,
china.com,Shanghai clique,,
china.de ,Chinese Central Propaganda Department ,,
china.org ,Buddha stretches a thousand hands,,
china.org.cn,eighty-nine,,
china.org.cn/,Falungong,,
cisco.com,anti-society ,,
clarin.com,underground church ,,
cnn.com,Tiananmen Incident,,
collegehumor.com,Student Federation,,
crailtap.com ,student movement,,
cyberpresse.ca,Dissident ,,
dagbladet.no ,Political dissident ,,
dailykos.com ,Mein Kampf ,,
dailymotion.com,censorship jail ,,
de.wikipedia.org,News blackout ,,
delfi.lt,"no-limit browser,",,
democracy.com,democracy movement ,,
democraticunderground.com,brain wash ,,
deviantart.com,Tibetan independence,,
digg.com ,Persecution,,
dirty.ru,Brutal torture ,,
disney.com,,,
dn.se,,,
drudgereport.com,,,
e-gold.com,,,
ebaumsworld.com,,,
ebay.com ,,,
ebay.de,,,
economist.com,,,
ehowa.com,,,
ehrensenf.de,,,
elmundo.es ,,,
elotrolado.net,,,
elpais.com ,,,
elpais.es,,,
en.wikipedia.org ,,,
en.wikipedia.org/wiki/tiananmen_square_protests_of_1989,,,
english.gov.cn/,,,
espn.com ,,,
expressen.se,,,
facebook.com,,,
fark.com,,,
fbi.gov,,,
flickr.com,,,
fok.nl ,,,
fotolog.com ,,,
foxnews.com ,,,
free.fr ,,,
freerepublic.com,,,
freetibet.org,,,
friendster.com ,,,
gaiaonline.com,,,
gamefaqs.com,,,
gamespot.com,,,
gay.com,,,
gayromeo.com ,,,
geenstijl.nl ,,,
globo.com,,,
google.be,,,
google.ca ,,,
google.ch ,,,
google.cn,,,
google.cn/ ,,,
google.co.uk,,,
google.com ,,,
google.com.cn,,,
google.de,,,
google.es,,,
google.fr ,,,
google.it ,,,
google.nl ,,,
google.pl,,,
google.se,,,
gov.cn ,,,
greatfirewallofchina.org ,,,
greatwallofchina.org,,,
greenpeace.org ,,,
guardian.co.uk,,,
hattrick.org,,,
heise.de ,,,
hi5.com ,,,
homestarrunner.com,,,
hotmail.com ,,,
hp.com,,,
hs.fi ya.ru ,,,
ibm.com,,,
idealista.com ,,,
ign.com,,,
imdb.com ,,,
index.hu,,,
indymedia.org,,,
infowars.com ,,,
itchmo.com,,,
lachschon.de,,,
lamermelculo.com,,,
last.fm,,,
lds.org,,,
lemonde.fr ,,,
level.ro,,,
libertaddigital.com ,,,
livejournal.com,,,
lunarstorm.se,,,
maddox.xmission.com ,,,
mail.ru,,,
marca.com,,,
marca.es,,,
mcdonalds.com,,,
megatokyo.com,,,
meneame.net ,,,
microsoft.com,,,
miniclip.com,,,
mitbbs.com,,,
msn.com ,,,
msnbc.com,,,
myspace.com,,,
nasa.gov ,,,
nba.com,,,
neopets.com,,,
newgrounds.com,,,
news.bbc.co.uk,,,
nhl.com,,,
nintendo.com,,,
nu.nl,,,
nytimes.com,,,
on.net.mk ,,,
one.lt ,,,
onet.pl ,,,
orf.at ,,,
orkut.com,,,
parano.be,,,
penny-arcade.com,,,
perezhilton.com,,,
photobucket.com,,,
politicallyincorrect.de,,,
prisonplanet.com ,,,
purepwnage.com,,,
racocatala.cat ,,,
radio-canada.ca ,,,
reddragon.pl ,,,
rense.com ,,,
repubblica.it ,,,
